Timestamp color_1_R color_1_G color_1_B color_1_proportion color_2_R color_2_G color_2_B color_2_proportion color_3_R color_3_G color_3_B color_3_proportion
2014-11-12_16-06-30 42.701668 24.293924 27.891224 0.59703857421875 193.57748 121.28695 132.28082 0.20265869140625 61.22121 203.417 91.74961 0.200302734375
2016-09-27_18-08-07 217.74643 220.97168 224.10208 0.3973152724388309 51.914116 36.189247 26.35418 0.39029989627188966 130.79384 112.305244 88.87074 0.2123848312892794
2018-04-25_11-59-48 240.19556 241.20879 241.27162 0.6726610005527915 191.72552 199.80272 213.8497 0.2538073521282477 104.57637 93.48707 106.866165 0.07353164731896075
2013-07-26_13-21-36 232.34895 222.47365 148.63435 0.4967694049297279 27.540777 13.097519 40.72789 0.29771135033534113 147.96167 119.720825 98.575195 0.20551924473493102
2013-05-14_18-35-55 56.401608 29.187326 44.020863 0.36407204493998035 208.44295 189.67542 165.84935 0.3187102182921099 154.15901 100.04141 93.18509 0.31721773676790976
2018-06-13_12-53-28 35.32553 32.501213 13.703889 0.820736897015622 174.76227 45.17551 19.968273 0.11578260988935563 222.74837 190.99242 134.16893 0.06348049309502238
2019-03-11_14-53-59 168.53874 107.1988 88.039116 0.4015933641975309 208.27501 169.95557 157.25893 0.38363233024691357 70.61184 31.6878 22.49077 0.21477430555555554
2015-09-04_21-58-55 18.995272 18.995272 18.995272 0.5429417438271605 208.36636 208.36636 208.36636 0.2569521604938272 88.84602 88.84602 88.84602 0.20010609567901236
2017-09-19_14-23-57 7.346239 8.635244 8.477055 0.7039630239794984 74.29056 50.060257 50.511044 0.220623588992617 201.13133 132.22748 102.120636 0.07541338702788455
2014-03-20_16-56-35 19.343817 18.136469 20.135595 0.57045654296875 220.1526 194.72469 162.6144 0.2232177734375 252.18288 250.95552 249.50285 0.20632568359375
2016-07-24_10-53-52 48.56094 58.29098 40.090088 0.34684695140823274 200.06494 194.12039 183.416 0.32945682451253483 120.47979 133.49524 104.97172 0.32369622407923243
2016-07-16_15-15-42 158.71751 142.9704 110.53612 0.4156798696844993 89.58643 73.922646 67.71591 0.3096210562414266 222.63513 206.77238 158.7482 0.27469907407407407
2019-03-06_11-01-46 1.932333 26.75159 37.537045 0.569207175925926 13.370504 95.670906 117.39321 0.2954764660493827 182.23042 205.95087 214.99019 0.13531635802469136
2018-07-27_23-12-04 62.069927 34.054226 34.85012 0.7072640185490268 121.38127 66.69372 61.029827 0.23765940569894442 224.00894 150.64047 116.53969 0.0550765757520288
2017-07-28_13-40-44 215.05457 219.77744 224.96046 0.4365153158737538 114.98379 69.63317 45.16704 0.3280360555813833 90.18753 166.5877 209.7061 0.23544862854486284
2015-01-06_19-18-32 60.653046 27.018572 48.212017 0.577099609375 151.92604 77.717964 136.3593 0.286171875 223.14551 164.10713 215.96161 0.136728515625
2017-10-16_13-51-25 220.69058 231.388 235.78868 0.4047492283950617 51.577385 33.227383 28.872036 0.33209104938271605 137.27197 129.66957 123.99248 0.2631597222222222
2018-07-27_14-51-56 31.487577 35.01653 38.297443 0.44120756172839504 89.508026 83.42824 81.78252 0.3193171296296296 158.5974 146.15053 138.52623 0.2394753086419753
2017-11-28_14-00-00 5.9587026 26.777634 11.124342 0.760258487654321 34.273876 141.18607 92.31505 0.17875128600823045 216.30415 222.2764 216.10985 0.06099022633744856
2015-07-09_01-01-56 141.61319 111.80716 106.059975 0.4221826171875 67.45127 53.66546 54.867996 0.38000244140625 203.5563 192.1 177.13062 0.19781494140625
2014-02-06_17-07-31 234.03047 219.0935 206.08734 0.42171875 22.554247 13.266202 22.71242 0.309951171875 175.36755 52.51021 62.770645 0.268330078125
2016-08-09_12-22-05 28.483877 3.4163344 23.674103 0.4611630489290064 197.70113 10.366732 103.83267 0.4562907443226592 222.3065 136.88379 221.128 0.0825462067483344
2016-07-27_14-25-02 62.85205 12.6498995 35.323063 0.5516538065843621 170.96446 54.51628 96.67149 0.303695987654321 239.04414 190.51845 198.29143 0.14465020576131687
2018-07-19_21-05-07 165.28242 188.37518 209.59473 0.41637345679012344 59.49934 26.281895 29.360937 0.3359307484567901 175.15378 100.87643 78.02968 0.24769579475308642
2015-09-19_19-56-03 14.173249 21.749348 31.878006 0.4107175925925926 224.28148 200.62892 194.55843 0.29815672153635114 109.53986 121.39527 116.16362 0.29112568587105625
2019-05-28_15-22-07 138.23624 133.01549 121.11657 0.6543132716049382 193.03424 189.38115 170.00539 0.1747878086419753 74.86471 81.51373 83.00612 0.1708989197530864
2014-07-27_16-40-30 209.95442 205.36491 194.46011 0.355791015625 60.428143 35.161083 38.43298 0.34865234375 171.36116 115.92756 87.05807 0.295556640625
2016-07-23_18-35-55 243.98967 242.80434 223.6507 0.5411111111111111 37.306324 26.00982 13.4599495 0.3020473251028807 107.25781 103.24266 81.431885 0.15684156378600822
2015-11-30_19-52-40 22.174273 37.808342 68.57348 0.4946644046386263 25.732014 89.85431 163.83018 0.4314965371875941 207.08514 202.29442 200.89586 0.07383905817377957
2017-07-28_09-45-36 13.669184 0.7374511 0.86625314 0.7240251604709436 188.0366 12.597412 4.289639 0.24161689493014793 236.27347 170.54616 96.91613 0.03435794459890845
2013-09-29_02-15-22 2.4574823 33.23954 51.9769 0.78577880859375 12.544758 113.5876 120.6301 0.17130615234375 145.4793 227.6131 189.13602 0.0429150390625
2018-06-05_12-23-27 73.36903 88.00026 112.533455 0.4775405092592593 123.282745 143.27179 142.48654 0.4341319444444444 230.07741 176.01335 123.661865 0.0883275462962963
2016-05-05_13-14-44 152.88365 74.63246 66.751144 0.35159550754458163 65.33679 14.095087 21.566729 0.34117712620027435 223.00504 178.98672 140.97691 0.307227366255144
2016-07-24_17-08-50 24.921864 23.803963 23.493954 0.7684199245541838 201.05107 118.960556 122.01071 0.1602340534979424 19.59045 112.04086 181.64204 0.0713460219478738
2015-07-24_21-48-12 21.961792 7.853617 20.426805 0.6879732907544845 101.786095 45.462612 122.46377 0.2070090747604701 195.7722 146.79045 182.13268 0.10501763448504532
2018-07-28_20-54-39 8.587856 20.950962 29.053768 0.7154586894586895 25.816988 73.637375 91.0515 0.21658831908831908 82.781166 179.84152 193.06664 0.06795299145299145
2016-05-07_10-16-08 8.800864 15.962149 72.562675 0.480389231824417 105.51393 125.55027 149.07661 0.31020404663923185 184.66617 179.18788 176.87364 0.20940672153635118
2016-02-16_20-45-57 33.375244 51.06499 22.675482 0.6031470499409713 134.6985 123.01962 82.918045 0.2164861488619828 210.03964 199.653 186.96382 0.18036680119704582
2019-07-18_23-33-01 30.807467 10.567068 9.166011 0.696068796068796 200.72993 83.776306 31.866957 0.2667633542633543 232.07921 218.50899 206.03297 0.03716784966784967
2019-01-08_16-25-03 228.53671 227.8464 227.8278 0.39474279835390946 61.709835 66.91166 37.784813 0.3245747599451303 201.86708 147.79543 41.424633 0.28068244170096024
2015-08-12_13-22-01 137.25156 124.96714 141.93388 0.4338134765625 250.05621 248.39893 250.82974 0.3058984375 70.036285 49.215057 65.32873 0.2602880859375
2014-02-13_14-04-55 102.8273 28.97818 30.951372 0.45235107421875 228.18565 200.5832 171.33035 0.296337890625 30.796524 8.951213 9.274468 0.25131103515625
2019-03-29_15-37-22 49.87003 37.59186 43.783424 0.4481180589747798 211.7598 217.92206 228.97778 0.31099075441763774 141.0217 143.91145 171.27283 0.24089118660758246
2018-03-02_13-52-05 237.05795 229.67505 228.89502 0.3485661114161938 168.84773 119.40596 97.72687 0.3311489413631094 87.96065 41.214848 29.926498 0.32028494722069684
2018-11-01_12-00-18 21.708258 52.80346 40.21913 0.5353536471398357 28.426281 194.4857 60.35703 0.2613447444788746 171.60226 187.48724 138.01855 0.20330160838128966
2014-03-26_14-22-15 45.639534 28.470829 35.1845 0.4084912109375 117.04996 74.07399 79.18425 0.35451171875 234.03166 199.39977 163.24391 0.2369970703125
2016-04-06_15-59-27 218.85622 192.63168 164.26593 0.5824974279835391 147.02776 128.14935 104.33118 0.22444187242798355 50.798977 36.557762 26.86301 0.19306069958847735
2014-07-25_11-24-40 221.2667 214.5643 214.92262 0.47083251953125 180.0927 145.33418 128.66048 0.31878173828125 119.52209 57.155617 40.28055 0.2103857421875
2014-04-28_15-27-30 50.761898 69.07137 43.28811 0.39125732421875 133.96448 130.69908 108.27247 0.33201416015625 223.65985 207.3704 206.44585 0.276728515625
2014-03-21_08-56-08 14.180711 12.192075 14.453457 0.6418896484375 230.32 205.34851 173.48552 0.26476806640625 147.39006 106.626945 90.35906 0.09334228515625
2017-08-17_11-50-47 215.63622 229.70648 244.19263 0.7987475994513031 230.39287 163.21892 47.498062 0.10698148148148148 83.43026 72.095055 77.0098 0.09427091906721537
2014-08-27_13-08-22 197.28355 203.50824 178.88681 0.49976318359375 45.6668 75.73985 70.9896 0.289072265625 185.46684 68.31662 81.50701 0.21116455078125
2017-09-24_11-57-30 26.401028 33.594563 28.453974 0.6389876543209877 76.50915 84.41541 79.13398 0.2785404663923182 167.53519 173.96393 158.9563 0.0824718792866941
2018-11-17_15-01-36 18.365162 14.207602 37.106247 0.6143511876295233 71.59969 75.140205 129.05386 0.2276794728731601 158.68523 165.8505 206.60207 0.15796933949731654
